timestamp_hour,temp_c,rain_mm,wind_speed_kmh,apparent_temp_c,wind_gusts_kmh,sunshine_duration_min,weather_severity_flag
2023-01-01 00:00:00,6.9,0.5,10.0,4.3,15.5,0.0,0
2023-01-01 01:00:00,6.8,0.0,18.4,2.8,23.8,0.0,0
2023-01-01 02:00:00,6.4,0.1,15.5,2.8,31.3,0.0,0
2023-01-01 03:00:00,5.5,0.0,11.1,2.3,26.3,0.0,0
2023-01-01 04:00:00,5.1,0.0,10.6,2.0,19.1,0.0,0
2023-01-01 05:00:00,5.8,0.0,11.4,2.7,20.5,0.0,0
2023-01-01 06:00:00,5.3,0.0,7.1,2.7,19.1,0.0,0
2023-01-01 07:00:00,4.7,0.0,7.0,2.1,11.5,0.0,0
2023-01-01 08:00:00,3.9,0.1,7.2,1.2,9.7,0.0,0
2023-01-01 09:00:00,3.3,0.5,8.6,0.4,10.4,0.0,0
2023-01-01 10:00:00,4.6,0.4,5.8,2.1,10.1,0.0,0
2023-01-01 11:00:00,5.5,0.0,12.4,2.2,19.4,48.272333333333336,0
2023-01-01 12:00:00,6.8,0.0,15.6,3.2,26.6,60.0,0
2023-01-01 13:00:00,6.8,0.0,14.3,3.6,26.3,0.0,0
2023-01-01 14:00:00,7.0,0.0,12.4,4.1,25.6,34.17166666666667,0
2023-01-01 15:00:00,6.8,0.0,10.1,4.1,23.4,0.0,0
2023-01-01 16:00:00,6.6,0.0,9.0,4.0,18.0,0.0,0
2023-01-01 17:00:00,5.7,0.0,7.9,3.3,15.1,0.0,0
2023-01-01 18:00:00,4.4,0.0,8.0,1.7,14.4,0.0,0
2023-01-01 19:00:00,3.9,0.0,8.0,1.2,14.0,0.0,0
2023-01-01 20:00:00,3.9,0.0,9.7,0.9,16.2,0.0,0
2023-01-01 21:00:00,3.5,0.0,12.1,0.0,20.5,0.0,0
2023-01-01 22:00:00,3.0,0.0,12.8,-0.7,21.6,0.0,0
2023-01-01 23:00:00,2.6,0.0,13.4,-1.2,23.8,0.0,0
2023-01-02 00:00:00,2.3,0.0,13.8,-1.6,23.8,0.0,0
2023-01-02 01:00:00,2.7,0.0,15.6,-1.4,25.6,0.0,0
2023-01-02 02:00:00,2.6,0.0,16.7,-1.6,28.8,0.0,0
2023-01-02 03:00:00,2.6,0.0,15.9,-1.5,28.8,0.0,0
2023-01-02 04:00:00,2.5,0.0,16.2,-1.6,29.5,0.0,0
2023-01-02 05:00:00,2.4,0.0,15.5,-1.7,29.2,0.0,0
2023-01-02 06:00:00,2.3,0.0,16.6,-1.9,28.1,0.0,0
2023-01-02 07:00:00,2.3,0.0,16.6,-1.9,28.8,0.0,0
2023-01-02 08:00:00,2.2,0.0,15.2,-1.9,28.8,0.0,0
2023-01-02 09:00:00,2.1,0.0,14.5,-1.9,25.9,0.0,0
2023-01-02 10:00:00,2.0,0.0,13.2,-1.9,25.2,0.0,0
2023-01-02 11:00:00,2.5,0.0,13.8,-1.4,24.1,60.0,0
2023-01-02 12:00:00,3.5,0.0,13.6,-0.3,25.9,60.0,0
2023-01-02 13:00:00,5.0,0.0,9.3,2.0,24.8,60.0,0
2023-01-02 14:00:00,6.1,0.0,5.9,3.6,16.9,60.0,0
2023-01-02 15:00:00,6.6,0.0,5.6,4.0,12.6,60.0,0
2023-01-02 16:00:00,6.1,0.0,5.5,3.5,10.1,60.0,0
2023-01-02 17:00:00,3.7,0.0,7.3,0.6,9.4,60.0,0
2023-01-02 18:00:00,3.7,0.0,8.4,0.5,13.0,0.0,0
2023-01-02 19:00:00,3.2,0.0,9.8,-0.3,15.8,0.0,0
2023-01-02 20:00:00,3.0,0.0,9.1,-0.4,15.8,0.0,0
2023-01-02 21:00:00,3.4,0.0,9.5,0.0,14.4,0.0,0
2023-01-02 22:00:00,4.8,0.0,20.0,-0.2,28.1,0.0,0
2023-01-02 23:00:00,5.9,0.0,25.2,0.2,40.0,0.0,0
2023-01-03 00:00:00,6.7,0.0,26.7,0.9,44.3,0.0,0
2023-01-03 01:00:00,7.3,0.0,27.4,1.7,45.7,0.0,0
2023-01-03 02:00:00,8.4,0.0,30.0,2.6,50.0,0.0,0
2023-01-03 03:00:00,8.3,0.1,32.1,2.4,53.6,0.0,0
2023-01-03 04:00:00,8.8,0.3,34.6,2.7,58.0,0.0,0
2023-01-03 05:00:00,9.1,2.1,38.0,2.8,64.4,0.0,1
2023-01-03 06:00:00,9.5,1.2,35.0,3.7,65.2,0.0,0
2023-01-03 07:00:00,9.9,0.7,23.2,5.8,59.8,0.0,0
2023-01-03 08:00:00,9.1,0.9,15.9,6.1,38.5,0.0,0
2023-01-03 09:00:00,9.2,0.1,14.4,6.3,27.0,0.0,0
2023-01-03 10:00:00,8.6,0.4,14.6,5.7,24.1,0.0,0
2023-01-03 11:00:00,9.0,0.5,15.7,6.1,25.9,0.0,0
2023-01-03 12:00:00,9.4,2.1,20.0,6.0,32.8,0.0,1
2023-01-03 13:00:00,10.8,1.0,25.3,6.8,40.7,0.0,0
2023-01-03 14:00:00,11.7,0.6,23.6,8.1,43.9,0.0,0
2023-01-03 15:00:00,12.4,0.0,21.5,9.3,38.5,2.1621666666666663,0
2023-01-03 16:00:00,12.6,0.0,17.8,10.1,35.6,0.0,0
2023-01-03 17:00:00,12.4,0.0,18.5,9.8,30.2,0.0,0
